Time frequency,Information society indicator,Unit of measure,Geopolitical entity (reporting),Time,Value
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2006,97.59
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2007,99.79
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2008,99.78
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2009,98.9
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2010,99.42
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2011,99.37
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2012,99.68
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2013,99.66
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2014,99.39
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2015,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2016,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2017,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2018,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2019,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2020,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2021,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2022,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2002,96.69
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2003,97.02
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2004,97.23
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2005,97.19
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2006,97.82
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2007,92.96
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2008,98.24
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2009,99.42
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2010,99.6
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2011,98.95
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2012,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2013,98.31
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2014,99.44
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2015,97.87
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2016,92.24
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2017,98.06
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2018,94.78
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2019,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2020,96.82
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2021,99.7
Annual,Last internet use: in last 3 months,Percentage of individuals,Sweden,2022,96.7
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2003,96.32
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2004,96.92
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2005,97.97
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2006,98.95
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2007,99.65
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2008,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2009,99.7
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2010,99.35
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2011,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2012,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2013,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2014,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2015,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2016,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2017,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2018,99.39
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2019,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2020,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2021,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Iceland,2022,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2003,94.31
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2004,94.27
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2005,98.38
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2006,99.41
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2007,94.87
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2008,99.48
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2009,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2010,99.28
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2011,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2012,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2013,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2014,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2015,98.89
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2016,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2017,99.46
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2018,98.64
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2019,99.37
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2020,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2021,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Norway,2022,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2007,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2008,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2009,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2010,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2011,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2012,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2013,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2014,99.7
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2015,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2016,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2017,99.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2018,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2019,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2020,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2021,99.71
Annual,Last internet use: in last 3 months,Percentage of individuals,Switzerland,2022,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2002,80.05
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2003,82.03
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2004,83.19
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2005,89.41
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2006,82.82
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2007,90.29
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2008,93.46
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2009,96.27
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2010,97.49
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2011,98.52
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2012,98.79
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2013,99.16
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2014,97.95
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2015,97.19
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2016,99.81
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2017,99.59
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2018,100
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2019,100
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2020,100
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2021,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,United Kingdom,2022,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2007,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2008,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2009,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2010,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2011,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2012,90.35
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2013,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2014,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2015,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2016,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2017,96.24
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2018,97.3
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2019,98.68
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2020,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2021,98.56
Annual,Last internet use: in last 3 months,Percentage of individuals,Montenegro,2022,98.41
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2004,54.36
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2006,59.87
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2007,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2008,77.47
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2009,87.69
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2010,80.45
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2011,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2012,87.61
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2013,96.48
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2014,93.67
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2015,93.3
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2016,98.67
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2017,97.34
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2018,97.5
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2019,99.11
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2020,97.21
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2021,99.53
Annual,Last internet use: in last 3 months,Percentage of individuals,North Macedonia,2022,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2007,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2008,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2009,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2010,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2011,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2012,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2013,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2014,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2015,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2016,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2017,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2018,89.29
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2019,94.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2020,94.76
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2021,96.4
Annual,Last internet use: in last 3 months,Percentage of individuals,Albania,2022,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2007,55.7
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2008,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2009,62.6
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2010,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2011,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2012,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2013,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2014,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2015,99.59
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2016,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2017,98
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2018,97.98
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2019,97.38
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2020,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2021,98.26
Annual,Last internet use: in last 3 months,Percentage of individuals,Serbia,2022,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2004,26.63
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2005,27.81
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2007,50.39
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2008,54.83
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2009,59.43
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2010,62.85
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2011,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2012,67.72
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2013,68.66
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2014,72.98
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2015,76.99
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2016,84.28
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2017,87.25
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2018,90.67
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2019,90.76
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2020,91.81
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2021,95.71
Annual,Last internet use: in last 3 months,Percentage of individuals,Türkiye,2022,95.49
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2007,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2008,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2009,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2010,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2011,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2012,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2013,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2014,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2015,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2016,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2017,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2018,98.65
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2019,97.9
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2020,99.39
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2021,99.48
Annual,Last internet use: in last 3 months,Percentage of individuals,Bosnia and Herzegovina,2022,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2007,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2008,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2009,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2010,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2011,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2012,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2013,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2014,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2015,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2016,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2017,95.08
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2018,98.3
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2019,98.87
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2020,98.97
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2021,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Kosovo (under United Nations Security Council Resolution 1244/99),2022,n/a
