Country,Mental Health Disorder Rate,Suicide Rate,Region
HTI,15.13,11.1732,AMR
HUN,11.31,11.7749,EUR
IDN,10.68,2.55,SEAR
IND,13.73,12.9087,SEAR
IRL,17.61,8.9,EUR
IRN,18.89,5.13,EMR
IRQ,14.91,4.74,EMR
ISL,14.6,11.1504,EUR
ISR,14.48,5.15,EUR
ITA,15.03,4.33,EUR
JAM,14.02,2.28,AMR
JOR,15.04,1.98,EMR
JPN,10.58,12.2413,WPR
KAZ,10.61,18.0523,EUR
KEN,12.34,11.0129,AFR
KGZ,11.26,8.28,EUR
KHM,12.36,5.49,WPR
KIR,12.22,30.5625,WPR
KWT,14.05,2.66,EMR
LAO,12.04,5.98,WPR
LBN,16.44,2.76,EMR
LBR,12.49,7.37,AFR
LBY,15.4,4.49,EMR
LCA,14.47,6.85,AMR
LKA,11.45,12.8878,SEAR
LTU,13.25,20.1545,EUR
LUX,14.91,8.62,EUR
LVA,12.62,16.0631,EUR
MAR,15.75,7.29,EMR
MDA,12.8,12.1666,EUR
MDG,13.04,9.18,AFR
MDV,11.07,2.76,SEAR
MEX,12.26,5.29,AMR
MKD,11.34,7.15,EUR
MLI,10.57,7.96,AFR
MLT,15.72,5.32,EUR
MMR,10.89,2.96,SEAR
MNE,11.63,16.2247,EUR
MNG,11.27,18.0245,WPR
MOZ,13.37,23.1947,AFR
MRT,10.58,5.47,AFR
MUS,11.86,8.75,AFR
MWI,12.5,10.5762,AFR
MYS,12.23,5.77,WPR
NAM,11.09,13.5141,AFR
NER,11.63,10.1456,AFR
NGA,10.72,6.87,AFR
NIC,13.27,4.66,AMR
NLD,16.6,9.27,EUR
NOR,15.98,9.91,EUR
NPL,13.83,9.77,SEAR
NZL,19.04,10.2951,WPR
OMN,13.73,4.47,EMR
PAK,13.08,9.77,EMR
PAN,12.18,2.86,AMR
PER,13.82,2.73,AMR
PHL,11.94,2.54,WPR
PNG,11.91,3.57,WPR
POL,10.6,9.3,EUR
PRK,11.81,8.2,SEAR
PRT,18.45,7.22,EUR
PRY,15.84,6.16,AMR
QAT,13.63,4.66,EMR
ROU,11.1,7.33,EUR
RUS,11.32,21.5962,EUR
RWA,13.08,9.45,AFR
SAU,13.7,5.43,EMR
SDN,15.99,4.76,EMR
SEN,11,10.9934,AFR
SLB,12.23,17.3741,WPR
SLE,12.33,11.2529,AFR
SLV,13.24,6.11,AMR
SOM,14.36,14.6618,EMR
SRB,11.38,7.86,EUR
SSD,13.31,6.69,AFR
STP,11,2.2,AFR
SUR,15.45,25.8913,AMR
SVK,11.21,9.31,EUR
SVN,11.63,13.9658,EUR
SWE,15.33,12.3731,EUR
SWZ,11.93,40.4572,AFR
SYC,10.86,7.73,AFR
SYR,16.28,2.11,EMR
TCD,12.65,13.2237,AFR
TGO,12.31,14.8097,AFR
THA,12.04,7.95,SEAR
TJK,11.04,5.32,EUR
TKM,10.53,6.07,EUR
TLS,11.24,4.53,SEAR
TON,11.54,4.37,WPR
TTO,14.58,8.28,AMR
TUN,16.08,3.18,EMR
TUR,14.4,2.34,EUR
TZA,12.58,8.15,AFR
UGA,14.59,10.4467,AFR
UKR,12.4,17.7287,EUR
URY,14.15,18.8276,AMR
USA,16.93,14.5111,AMR
UZB,10.56,8.28,EUR
VCT,14.45,1.01,AMR
VEN,13.59,2.1,AMR
VNM,9.52,7.22,WPR
VUT,11.97,20.9647,WPR
WSM,11.59,14.6024,WPR
YEM,16.4,7.06,EMR
ZAF,12.01,23.4856,AFR
ZMB,12.11,14.4258,AFR
ZWE,11.12,23.6286,AFR
