,Country,Anxiety Disorder Rate,Suicide Rate,Region
171,UKR,3.38,17.7287,EUR
172,ARE,4.46,5.24,EMR
173,GBR,4.9,6.88,EUR
174,USA,6.16,14.5111,AMR
175,URY,5.58,18.8276,AMR
176,UZB,2.14,8.28,EUR
177,VUT,4.15,20.9647,WPR
178,VEN,4.18,2.1,AMR
179,VNM,2.39,7.22,WPR
180,YEM,4.93,7.06,EMR
181,ZMB,4.05,14.4258,AFR
182,ZWE,3.28,23.6286,AFR
